place-IV,lng-IV,lat-IV,lng-OSM,lat-OSM,uuid,uri,place,county,"distance (km)","longitude negated"
Hintlesham,1.05,52.15,1.0428109,52.049283,IV1680-172-03,http://www.openstreetmap.org/node/288527705,Hintlesham,Suffolk,5.46,,100
Hinton,-2.45,51.55,-2.3840001,51.4905602,IV1680-172-07,http://www.openstreetmap.org/node/21377955,Hinton,Gloucestershire,3.09,,100
Hinton,-0.81,51.73,-0.8975371,51.7163968,IV1680-172-09,http://www.openstreetmap.org/node/1680920537,Henton,Oxfordshire,1.92,,83.33
Hinton,-2.83,52.7,-2.8738416,52.6677374,IV1680-172-11,http://www.openstreetmap.org/node/804285485,Hinton,Shropshire,5.45,,100
Hinton,1.51,52.41,1.5781838,52.2897448,IV1680-172-13,http://www.openstreetmap.org/node/3120500943,Hinton,Suffolk,4.32,,100
Hints,-2.51,52.4,-2.5711027,52.3729277,IV1680-172-27,http://www.openstreetmap.org/node/1736272276,Hints,Shropshire,1.4,,100
Hints,-1.75,52.66,-1.7687936,52.6242084,IV1680-172-28,http://www.openstreetmap.org/node/475326629,Hints,Staffordshire,1.1,,100
Hinxton,0.13,52.11,0.1792608,52.0848693,IV1680-172-29,http://www.openstreetmap.org/node/41036115,Hinxton,Cambridgeshire,3.97,,100
Hinxworth,-0.18,52.05,-0.1998206,52.049146,IV1680-172-30,http://www.openstreetmap.org/node/299853797,Hinxworth,Hertfordshire,3.49,,100
Hipperholm,-1.61,53.78,-1.8122128,53.7258807,IV1680-172-33,http://www.openstreetmap.org/node/51670050,Hipperholme,"Yorkshire West Riding",0.24,,95.24
Hirnant,-3.31,52.88,-3.4076603,52.7961672,IV1680-172-35,http://www.openstreetmap.org/node/29750178,Hirnant,Montgomeryshire,0.98,,100
Hissinton,-2.96,52.5,-3.0160467,52.5415977,IV1680-172-38,http://www.openstreetmap.org/node/849574522,Hyssington,Montgomeryshire,6.6,,84.21
HITCHIN,-0.28,51.98,-0.2876451,51.9477683,IV1680-172-44,http://www.openstreetmap.org/node/1350395444,"West Hitchin",Hertfordshire,0.34,,73.68
Hoby,-0.88,52.81,-1.0096366,52.7503463,IV1680-173-06,http://www.openstreetmap.org/node/30150588,Hoby,Leicestershire,0.6,,100
Hockerell,0.2,51.9,0.1739264,51.8671771,IV1680-173-09,http://www.openstreetmap.org/node/3133042208,Hockerill,Hertfordshire,0.97,,88.89
Hockerton,-0.78,53.15,-0.9305534,53.1010822,IV1680-173-10,http://www.openstreetmap.org/node/298276492,Hockerton,Nottinghamshire,1.08,,100
Hockley,0.71,51.66,0.6569896,51.6010975,IV1680-173-14,http://www.openstreetmap.org/node/27584862,Hockley,Essex,2.8,,100
Hockring,1.06,52.75,1.0672108,52.675647,IV1680-173-18,http://www.openstreetmap.org/node/395532290,Hockering,Norfolk,3.06,,94.12
Hockworthy,-3.43,50.98,-3.3688222,50.9667586,IV1680-173-21,http://www.openstreetmap.org/node/156390079,Hockworthy,Devon,1.8,,100
HODDESDON,0.05,51.78,-0.0112898,51.7616709,IV1680-173-24,http://www.openstreetmap.org/node/18007599,Hoddesdon,Hertfordshire,1.01,,100
HODNET,-2.53,52.93,-2.571483,52.8533291,IV1680-173-28,http://www.openstreetmap.org/node/1656285353,Hodnet,Shropshire,0.46,,100
Hodson,-1.63,51.56,-1.7508914,51.5224937,IV1680-173-31,http://www.openstreetmap.org/node/2299693096,Hodson,Wiltshire,4.05,,100
Hoes,-0.73,52.88,-0.9065159,52.8570552,IV1680-173-34,http://www.openstreetmap.org/node/31823978,Hose,Leicestershire,2,,75
Hoff,-2.15,54.65,-2.5030368,54.5521804,IV1680-173-35,http://www.openstreetmap.org/node/242711595,Hoff,Westmorland,0.57,,100
Hogeston,-4.7,51.76,-4.8491595,51.6599052,IV1680-173-38,http://www.openstreetmap.org/node/255356891,Hodgeston,Pembrokeshire,3.47,,94.12
Hoggeston,-0.75,51.93,-0.8261093,51.9186077,IV1680-173-40,http://www.openstreetmap.org/node/503573002,Hoggeston,Buckinghamshire,0.69,,100
Hognaston,-1.51,53.13,-1.6509127,53.0522505,IV1680-173-42,http://www.openstreetmap.org/node/29348549,Hognaston,Derbyshire,1.28,,100
Hogshaw,-0.86,51.91,-0.9220086,51.8985634,IV1680-173-45,http://www.openstreetmap.org/node/2924890544,Hogshaw,Buckinghamshire,1.78,,100
Hoke,-2.76,50.88,-2.6592856,50.7991047,IV1680-173-46,http://www.openstreetmap.org/node/432945246,Hooke,Dorset,2.28,,88.89
Hoke,-0.63,53.8,-0.8475577,53.721094,IV1680-173-47,http://www.openstreetmap.org/node/76682590,Hook,"Yorkshire West Riding",3.22,,75
Holbeck,-1.01,53.3,-1.1879788,53.2548703,IV1680-173-52,http://www.openstreetmap.org/node/29402267,Holbeck,Nottinghamshire,0.52,,100
Holbrook,1.18,52.08,1.1577662,51.9835745,IV1680-173-55,http://www.openstreetmap.org/node/1769240050,Holbrook,Suffolk,2.21,,100
Holbury,-1.41,50.86,-1.3821875,50.8326523,IV1680-173-57,http://www.openstreetmap.org/node/29819428,Holbury,Hampshire,2.83,,100
Holcomb,-2.53,51.26,-2.4725254,51.2463758,IV1680-174-01,http://www.openstreetmap.org/node/29676309,Holcombe,Somerset,3.1,,93.33
Holcot,-0.76,52.36,-0.8382067,52.3204537,IV1680-174-05,http://www.openstreetmap.org/node/29621879,Holcot,Northamptonshire,1.04,,100
Holdbeck,-1.28,53.83,-1.5579522,53.7864738,IV1680-174-07,http://www.openstreetmap.org/node/250677184,Holbeck,"Yorkshire West Riding",3.91,,93.33
Holdenby,-0.91,52.36,-0.9814552,52.3039907,IV1680-174-08,http://www.openstreetmap.org/node/679991672,Holdenby,Northamptonshire,1.61,,100
Hole-Port,-0.6,51.5,-0.71397,51.4923672,IV1680-174-14,http://www.openstreetmap.org/node/287890111,Holyport,Berkshire,2.35,,82.35
Holkham,0.85,53.03,0.8143613,52.9591025,IV1680-174-24,http://www.openstreetmap.org/node/29284040,Holkham,Norfolk,1.62,,100
Hollacomb,-3.75,50.81,-3.7027775,50.7901616,IV1680-174-27,http://www.openstreetmap.org/node/1617468559,Hollacombe,Devon,5.8,,94.74
Hollam,0.16,53.8,0.0373393,53.7079142,IV1680-174-28,http://www.openstreetmap.org/node/60269158,Hollym,"Yorkshire East Riding",2.6,,83.33
Holland,-2.55,53.63,-2.7500417,53.5409383,IV1680-174-30,http://www.openstreetmap.org/node/29974964,"Holland Moor",Lancashire,2.66,,73.68
Hollesley,1.5,52.16,1.431963,52.0487345,IV1680-174-35,http://www.openstreetmap.org/node/96540934,Hollesley,Suffolk,2.9,,100
Hollingborn,0.6,51.28,0.6414622,51.265694,IV1680-174-40,http://www.openstreetmap.org/node/320627261,Hollingbourne,Kent,0.96,,91.67
Hollington,-1.51,53.05,-1.6588252,52.9553857,IV1680-174-43,http://www.openstreetmap.org/node/259663337,Hollington,Derbyshire,1.88,,100
Hollington,-1.83,53.01,-1.9128199,52.947344,IV1680-174-44,http://www.openstreetmap.org/node/305121757,Hollington,Staffordshire,1.82,,100
Hollington,0.45,50.83,0.54973,50.8793471,IV1680-174-45,http://www.openstreetmap.org/node/356907773,Hollington,Sussex,2.29,,100
Hollinworth,-1.83,53.53,-1.9926971,53.4634966,IV1680-174-48,http://www.openstreetmap.org/node/29622792,Hollingworth,Cheshire,0.34,,95.65
Holliwell,-0.4,52.75,-0.51837,52.7346168,IV1680-174-49,http://www.openstreetmap.org/node/18712964,Holywell,Lincolnshire,1.44,,82.35
Holm,-0.2,52.45,-0.2479521,52.4755105,IV1680-174-58,http://www.openstreetmap.org/node/32909934,Holme,Huntingdonshire,0.91,,88.89
Holm,-0.68,53.16,-0.803216,53.1237321,IV1680-175-05,http://www.openstreetmap.org/node/2336881737,Holme,Nottinghamshire,1.98,,88.89
Holm,-2.43,54.31,-2.7301125,54.203657,IV1680-175-07,http://www.openstreetmap.org/node/31392793,Holme,Westmorland,1.85,,88.89
Holmeton,0.21,53.75,0.0686426,53.689248,IV1680-175-18,http://www.openstreetmap.org/node/104623497,Holmpton,"Yorkshire East Riding",3.1,,87.5
"Holm forth",-1.63,53.65,-1.7870301,53.5703517,IV1680-175-20,http://www.openstreetmap.org/node/29796267,Holmfirth,"Yorkshire West Riding",1.68,,84.21
Holnest,-2.55,50.93,-2.4911564,50.8870259,IV1680-175-36,http://www.openstreetmap.org/node/435166310,Holnest,Dorset,2.91,,100
HOLT,1.05,52.96,1.0928322,52.9054382,IV1680-175-41,http://www.openstreetmap.org/node/1202920922,Holt,Norfolk,0.5,,100
Holt,-2.25,51.4,-2.196879,51.3548578,IV1680-175-45,http://www.openstreetmap.org/node/573386176,Holt,Wiltshire,2.86,,100
Holtby,-0.7,54.05,-0.9729827,53.9792609,IV1680-175-47,http://www.openstreetmap.org/node/12712963,Holtby,"Yorkshire North Riding",3.78,,100
Holton,-1.03,51.78,-1.1293417,51.7558489,IV1680-175-53,http://www.openstreetmap.org/node/17946952,Holton,Oxfordshire,0.38,,100
Holton,1.58,52.5,1.5271935,52.3426095,IV1680-175-54,http://www.openstreetmap.org/node/288297072,Holton,Suffolk,1.27,,100
Holway,-3.18,51.05,-3.0833566,51.0096811,IV1680-175-56,http://www.openstreetmap.org/node/98865096,Holway,Somerset,0.52,,100
Holwell,-2.43,50.96,-2.4222916,50.8962798,IV1680-175-58,http://www.openstreetmap.org/node/435166323,Holwell,Dorset,2.63,,100
Holwell,-0.76,52.86,-0.9123883,52.8059638,IV1680-175-60,http://www.openstreetmap.org/node/2031728241,Holwell,Leicestershire,0.95,,100
Holwell,-0.91,52.41,-0.9895569,52.3418869,IV1680-176-01,http://www.openstreetmap.org/node/679991661,Hollowell,Northamptonshire,2.47,,87.5
Holwell,-1.6,51.78,-1.6645236,51.7803784,IV1680-176-02,http://www.openstreetmap.org/node/350190890,Holwell,Oxfordshire,2.26,,100
Holwick,-1.76,54.71,-2.1484195,54.6379614,IV1680-176-04,http://www.openstreetmap.org/node/27593201,Holwick,"Yorkshire North Riding",2.37,,100
Holyhead,-4.5,53.56,-4.6330966,53.3106715,IV1680-176-06,http://www.openstreetmap.org/node/27581224,Holyhead,Anglesey,1.46,,100
Holywell,-3.1,53.36,-3.2212991,53.2714061,IV1680-176-12,http://www.openstreetmap.org/node/27459579,Holywell,Flintshire,0.64,,100
Holywell,-0.05,52.31,-0.037323,52.3181992,IV1680-176-13,http://www.openstreetmap.org/node/391655256,Holywell,Huntingdonshire,3.58,,100
Homersfield,1.38,52.55,1.3600598,52.4190236,IV1680-176-19,http://www.openstreetmap.org/node/288184751,Homersfield,Suffolk,2.49,,100
Homerwich,-1.9,52.73,-1.9003715,52.6672052,IV1680-176-20,http://www.openstreetmap.org/node/111737661,Hammerwich,Staffordshire,2.97,,84.21
Honing,1.38,52.91,1.4898384,52.7004507,IV1680-176-27,http://www.openstreetmap.org/node/6421506419,Horning,Norfolk,1.03,,92.31
Honington,-1.46,52.11,-1.6100884,52.0822301,IV1680-176-29,http://www.openstreetmap.org/node/2573286538,"Little Honington",Warwickshire,5.11,,72
HONITON,-3.28,50.85,-3.1924599,50.7981119,IV1680-176-30,http://www.openstreetmap.org/node/117061762,Honiton,Devon,2.94,,100
Honley,-1.65,53.66,-1.7919904,53.6044767,IV1680-176-31,http://www.openstreetmap.org/node/29796273,Honley,"Yorkshire West Riding",1.01,,100
Honningham,-1.31,52.4,-1.4511321,52.3125933,IV1680-176-32,http://www.openstreetmap.org/node/599676558,Hunningham,Warwickshire,2.41,,90
Hony-Church,-4.03,50.9,-3.9473445,50.8080171,IV1680-176-33,http://www.openstreetmap.org/node/2520388023,Honeychurch,Devon,6.42,,90.91
Hoo,1.33,52.31,1.3008445,52.1822183,IV1680-176-37,http://www.openstreetmap.org/node/3450793508,Hoo,Suffolk,2.28,,100
Hook,-1.28,50.86,-1.2778009,50.8453602,IV1680-176-40,http://www.openstreetmap.org/node/244213399,Hook,Hampshire,1.82,,100
Hook,-0.28,51.43,-0.3071453,51.3678984,IV1680-176-41,http://www.openstreetmap.org/node/1734271740,Hook,Surrey,3.62,,100
Hookwood,-0.2,51.2,-0.1868825,51.166677,IV1680-176-44,http://www.openstreetmap.org/node/4264761393,Hookwood,Surrey,4.63,,100
Hool,-2.71,53.31,-2.8745367,53.2010519,IV1680-176-45,http://www.openstreetmap.org/node/400018931,Hoole,Cheshire,1.23,,88.89
Hope,-1.56,53.43,-1.7437121,53.3488703,IV1680-176-57,http://www.openstreetmap.org/node/26421231,Hope,Derbyshire,0.14,,100
Hope,-2.96,52.65,-2.9710816,52.6079893,IV1680-177-01,http://www.openstreetmap.org/node/450201570,Hope,Shropshire,6.7,,100
Hope,-1.66,53.13,-1.8150456,53.09357,IV1680-177-02,http://www.openstreetmap.org/node/481189856,Hope,Staffordshire,3.48,,100
Hopesey,-2.9,52.46,-2.8985959,52.4453413,IV1680-177-08,http://www.openstreetmap.org/node/268394397,Hopesay,Shropshire,2.05,,85.71
Hopways,-1.71,52.68,-1.7383845,52.6420095,IV1680-177-26,http://www.openstreetmap.org/node/298718521,Hopwas,Staffordshire,1.79,,92.31
Hopwood,-2.01,53.65,-2.2065478,53.5876115,IV1680-177-28,http://www.openstreetmap.org/node/783315825,Hopwood,Lancashire,3.7,,100
Hopworth,-1.63,53.65,-1.7548308,53.5577238,IV1680-177-30,http://www.openstreetmap.org/node/29796266,Hepworth,"Yorkshire West Riding",3.18,,87.5
Horbling,-0.21,52.95,-0.3375522,52.9038266,IV1680-177-31,http://www.openstreetmap.org/node/82536376,Horbling,Lincolnshire,0.57,,100
Horbury,-1.33,53.73,-1.55422,53.6612123,IV1680-177-33,http://www.openstreetmap.org/node/26685708,Horbury,"Yorkshire West Riding",0.24,,100
Hordley,-2.86,52.95,-2.9186556,52.8709477,IV1680-177-37,http://www.openstreetmap.org/node/335883636,Hordley,Shropshire,5.36,,100
Horham,1.26,52.48,1.244484,52.3045283,IV1680-177-43,http://www.openstreetmap.org/node/283141665,Horham,Suffolk,6.51,,100
Horinghold,-0.73,52.63,-0.8107354,52.5668297,IV1680-177-45,http://www.openstreetmap.org/node/29341252,Horninghold,Leicestershire,0.63,,95.24
Horkstow,-0.31,53.73,-0.508508,53.6537382,IV1680-177-46,http://www.openstreetmap.org/node/243382999,Horkstow,Lincolnshire,1.17,,100
Horley,-1.33,52.15,-1.3910476,52.0909814,IV1680-177-50,http://www.openstreetmap.org/node/28213344,Horley,Oxfordshire,3.22,,100
Horley,-0.15,51.21,-0.1640754,51.1716895,IV1680-177-51,http://www.openstreetmap.org/node/58808142,Horley,Surrey,3.38,,100
Hornblowton,-2.65,51.13,-2.5846838,51.1046336,IV1680-177-56,http://www.openstreetmap.org/node/161889256,Hornblotton,Somerset,0.44,,90.91
HORNBY,-2.36,54.2,-2.6356844,54.1113256,IV1680-177-57,http://www.openstreetmap.org/node/29914939,Hornby,Lancashire,3.01,,100
Hornby,-1.06,54.48,-1.4408688,54.4443469,IV1680-177-59,http://www.openstreetmap.org/node/387652335,Hornby,"Yorkshire North Riding",3.32,,100
Hornby,-1.36,54.38,-1.6619033,54.3396564,IV1680-177-60,http://www.openstreetmap.org/node/29541806,Hornby,"Yorkshire North Riding",4.91,,100
HORNCASTLE,-0.01,53.26,-0.1171111,53.2088239,IV1680-178-03,http://www.openstreetmap.org/node/243463242,Horncastle,Lincolnshire,0.51,,100
"Horn Church",0.25,51.58,0.2212279,51.5613235,IV1680-178-04,http://www.openstreetmap.org/node/597399332,Hornchurch,Essex,0.47,,95.24
Horningiow,-1.58,52.9,-1.6417963,52.823053,IV1680-178-09,http://www.openstreetmap.org/node/4663565670,Horninglow,Staffordshire,2.05,,90
Horningsey,0.16,52.26,0.1863126,52.239366,IV1680-178-10,http://www.openstreetmap.org/node/26117619,Horningsea,Cambridgeshire,1.17,,90
Horingsham,-2.31,51.21,-2.271254,51.1723714,IV1680-178-11,http://www.openstreetmap.org/node/380280470,Horningsham,Wiltshire,3.86,,95.24
Horningtoft,0.88,52.81,0.8670615,52.7711452,IV1680-178-14,http://www.openstreetmap.org/node/1296419969,Horningtoft,Norfolk,0.99,,100
HORNSEY,0.03,53.98,-0.1689412,53.9134596,IV1680-178-17,http://www.openstreetmap.org/node/20628349,Hornsea,"Yorkshire East Riding",1.74,,85.71
Hornton,-1.38,52.15,-1.4273031,52.1017713,IV1680-178-18,http://www.openstreetmap.org/node/514484964,Hornton,Oxfordshire,3.18,,100
Horringham,-0.83,53.05,-0.9589177,53.0134312,IV1680-178-19,http://www.openstreetmap.org/node/53981080,Hoveringham,Nottinghamshire,3.32,,85.71
Horsenden,-0.76,51.75,-0.8515984,51.7195051,IV1680-178-24,http://www.openstreetmap.org/node/430264282,Horsenden,Buckinghamshire,3.86,,100
Horsey,1.58,52.9,1.6418048,52.7470952,IV1680-178-28,http://www.openstreetmap.org/node/1576247341,Horsey,Norfolk,1.28,,100
Horsey,-3.08,51.15,-2.9711375,51.1462448,IV1680-178-29,http://www.openstreetmap.org/node/1124943031,Horsey,Somerset,2.24,,100
Horsford,1.25,52.81,1.2430052,52.6995794,IV1680-178-30,http://www.openstreetmap.org/node/6957054394,Horsford,Norfolk,0.55,,100
Horsforth,-1.31,53.9,-1.6399896,53.8392125,IV1680-178-31,http://www.openstreetmap.org/node/4826036413,Horsforth,"Yorkshire West Riding",0.55,,100
HORSHAM,-0.26,51.11,-0.3295028,51.0630273,IV1680-178-32,http://www.openstreetmap.org/node/17722528,Horsham,Sussex,3.72,,100
Horsheath,0.16,52.13,0.3526038,52.0999004,IV1680-178-34,http://www.openstreetmap.org/node/29402424,Horseheath,Cambridgeshire,0.75,,94.74
Horfill,-0.43,51.38,-0.566865,51.3246896,IV1680-178-36,http://www.openstreetmap.org/node/45470923,Horsell,Surrey,5.22,,71.43
Horsington,-0.11,53.25,-0.2157779,53.2018516,IV1680-178-39,http://www.openstreetmap.org/node/243463234,Horsington,Lincolnshire,0.51,,100
Horsington,-2.4,51.08,-2.4255222,51.0133614,IV1680-178-40,http://www.openstreetmap.org/node/645372183,Horsington,Somerset,0.25,,100
Horsley,-2.9,53.2,-2.9842704,53.1257581,IV1680-178-42,http://www.openstreetmap.org/node/266352345,Honkley,Denbighshire,4.46,,71.43
Horsley,-2.21,51.7,-2.2347089,51.6816561,IV1680-178-43,http://www.openstreetmap.org/node/26953351,Horsley,Gloucestershire,1.72,,100
Horsley,-1.41,55.01,-1.8535113,54.9875901,IV1680-178-45,http://www.openstreetmap.org/node/29270480,Horsley,Northumberland,1.84,,100
Horsmunden,0.43,51.15,0.4318373,51.1391454,IV1680-178-53,http://www.openstreetmap.org/node/30933590,Horsmonden,Kent,3,,90
Horspark,-1.06,51.76,-1.1744386,51.7384274,IV1680-178-55,http://www.openstreetmap.org/node/146398344,Horspath,Oxfordshire,2.75,,75
Horsted,1.31,52.85,1.3510019,52.7265691,IV1680-178-56,http://www.openstreetmap.org/node/444223182,Horstead,Norfolk,5.98,,93.33
Horton,-0.61,51.93,-0.6605989,51.8648043,IV1680-178-59,http://www.openstreetmap.org/node/448463950,Horton,Buckinghamshire,3.55,,100
Horton,-0.43,51.48,-0.5430428,51.4734303,IV1680-178-60,http://www.openstreetmap.org/node/34592169,Horton,Buckinghamshire,6.82,,100
Horton,-1.93,50.93,-1.9581567,50.8668552,IV1680-179-03,http://www.openstreetmap.org/node/19820601,Horton,Dorset,1.01,,100
Horton,-2.36,51.61,-2.3470029,51.5594783,IV1680-179-04,http://www.openstreetmap.org/node/27460131,Horton,Gloucestershire,0.57,,100
Horton,-0.75,52.23,-0.8031998,52.1831865,IV1680-179-08,http://www.openstreetmap.org/node/142821443,Horton,Northamptonshire,1.49,,100
Horton,-2.71,52.91,-2.7551193,52.8648003,IV1680-179-12,http://www.openstreetmap.org/node/373834532,Horton,Shropshire,0.84,,100
Horton,-2.43,52.76,-2.474394,52.7286103,IV1680-179-13,http://www.openstreetmap.org/node/2143352424,Horton,Shropshire,2.21,,100
Horton,-1.96,53.16,-2.0885199,53.1132967,IV1680-179-16,http://www.openstreetmap.org/node/1492232536,Horton,Staffordshire,3.95,,100
Horton,-1.93,51.4,-1.9307399,51.3689336,IV1680-179-19,http://www.openstreetmap.org/node/291935132,Horton,Wiltshire,7.3,,100
Horwich,-2.1,53.61,-2.5409992,53.5965362,IV1680-179-27,http://www.openstreetmap.org/node/24950726,Horwich,Lancashire,0.23,,100
Hothersall,-2.43,53.88,-2.5731745,53.8166326,IV1680-179-32,http://www.openstreetmap.org/node/29050501,Hothersall,Lancashire,6.35,,100
Hothfield,0.75,51.15,0.8185627,51.1713887,IV1680-179-33,http://www.openstreetmap.org/node/26882749,Hothfield,Kent,0.93,,100
Hough,-2.35,53.11,-2.4280654,53.0570255,IV1680-179-37,http://www.openstreetmap.org/node/30211736,Hough,Cheshire,1.66,,100
Hougham,-0.58,53.03,-0.6784442,52.9894994,IV1680-179-40,http://www.openstreetmap.org/node/243748112,Hougham,Lincolnshire,2.09,,100
Houghton,-1.06,53.23,-1.2628428,53.1927011,IV1680-179-43,http://www.openstreetmap.org/node/298659770,"Stony Houghton",Derbyshire,1.16,,72.73
Houghton,-0.1,52.33,-0.1150244,52.330324,IV1680-179-45,http://www.openstreetmap.org/node/19793891,Houghton,Huntingdonshire,1.45,,100
Houghton,0.71,52.93,0.6569012,52.8161847,IV1680-179-51,http://www.openstreetmap.org/node/2737041045,Houghton,Norfolk,5.06,,100
Houghton,-0.81,53.3,-0.9848948,53.2460928,IV1680-179-54,http://www.openstreetmap.org/node/29402820,Haughton,Nottinghamshire,1.51,,87.5
Hovingham,-0.73,54.23,-0.9794578,54.1720424,IV1680-180-11,http://www.openstreetmap.org/node/84803923,Hovingham,"Yorkshire North Riding",0.69,,100
HOULSWORTHY,-4.43,50.93,-4.3526341,50.8123783,IV1680-180-18,http://www.openstreetmap.org/node/33795758,Holsworthy,Devon,1.35,,95.24
Houn-hill,-1.71,52.96,-1.7900164,52.8706021,IV1680-180-23,http://www.openstreetmap.org/node/6412590740,Houndhill,Staffordshire,2.59,,88.89
Hourne,-0.08,51.21,-0.084636,51.1826557,IV1680-180-26,http://www.openstreetmap.org/node/158326994,Horne,Surrey,1.3,,90.91
How,1.38,52.66,1.3521979,52.5490639,IV1680-180-29,http://www.openstreetmap.org/node/2734281402,Howe,Norfolk,2.88,,85.71
Howarby,0.01,53.51,-0.1014344,53.4602674,IV1680-180-30,http://www.openstreetmap.org/node/2698949996,Hawerby,Lincolnshire,3.35,,71.43
HOWDEN,-0.61,53.81,-0.8622549,53.7473189,IV1680-180-36,http://www.openstreetmap.org/node/59847773,Howden,"Yorkshire East Riding",1.09,,100
Howell,-0.18,53.05,-0.3088696,53.0017864,IV1680-180-43,http://www.openstreetmap.org/node/243514911,Howell,Lincolnshire,1.12,,100
How-field,-2.61,53.23,-2.7272737,53.1616971,IV1680-180-48,http://www.openstreetmap.org/node/223816274,Hoofield,Cheshire,3.38,,82.35
Houghton,-1.48,51.13,-1.511822,51.0913615,IV1680-180-49,http://www.openstreetmap.org/node/59848841,Houghton,Hampshire,0.69,,100
Howker,-2.73,54.3,-2.9816128,54.1865183,IV1680-180-59,http://www.openstreetmap.org/node/29672367,Holker,Lancashire,6.16,,83.33
Howle,-2.4,52.88,-2.4550615,52.8117878,IV1680-181-02,http://www.openstreetmap.org/node/1667589096,Howle,Shropshire,0.45,,100
Howsham,-0.26,53.58,-0.4233202,53.5242541,IV1680-181-06,http://www.openstreetmap.org/node/243488359,Howsham,Lincolnshire,1.58,,100
Howthorp,-0.33,52.88,-0.4483829,52.8345498,IV1680-181-08,http://www.openstreetmap.org/node/82536394,Hawthorpe,Lincolnshire,1.21,,82.35
Howton,-2.78,52,-2.8561935,51.9588543,IV1680-181-10,http://www.openstreetmap.org/node/8418820027,Howton,Herefordshire,0.55,,100
Hoxon,1.26,52.48,1.2018093,52.3501173,IV1680-181-13,http://www.openstreetmap.org/node/288537050,Hoxne,Suffolk,1.45,,80
"Hoyland Swain",-1.38,53.65,-1.607022,53.5385378,IV1680-181-16,http://www.openstreetmap.org/node/29796264,Hoylandswaine,"Yorkshire West Riding",7.19,,92.31
Hucking,0.6,51.31,0.6443319,51.2937904,IV1680-181-22,http://www.openstreetmap.org/node/255290937,Hucking,Kent,1.07,,100
Hucknall,-1.05,53.08,-1.2035443,53.0383633,IV1680-181-27,http://www.openstreetmap.org/node/26984578,Hucknall,Nottinghamshire,2.01,,100
Huddington,-1.93,52.23,-2.0844224,52.2149023,IV1680-181-31,http://www.openstreetmap.org/node/6935784301,Huddington,Worcestershire,1.22,,100
Hudswell,-1.5,54.43,-1.7773285,54.3971067,IV1680-181-35,http://www.openstreetmap.org/node/243352160,Hudswell,"Yorkshire North Riding",3.34,,100
Huelsfield,-2.61,51.75,-2.6246465,51.716688,IV1680-181-37,http://www.openstreetmap.org/node/347416724,Hewelsfield,Gloucestershire,0.82,,85.71
Hugget,-0.41,54.06,-0.6582652,53.9861747,IV1680-181-38,http://www.openstreetmap.org/node/102404466,Huggate,"Yorkshire East Riding",2.01,,76.92
Hugh,-1.46,55.11,-1.8719225,55.0535123,IV1680-181-39,http://www.openstreetmap.org/node/860957314,Heugh,Northumberland,3.98,,88.89
Hughford,-2.3,52.63,-2.3644588,52.6028514,IV1680-181-40,http://www.openstreetmap.org/node/1821074230,Higford,Shropshire,0.85,,80
Hullavington,-2.16,51.56,-2.1565705,51.5371735,IV1680-181-48,http://www.openstreetmap.org/node/152970065,Hullavington,Wiltshire,2.07,,100
Humber,-2.61,52.23,-2.6787535,52.2030036,IV1680-181-57,http://www.openstreetmap.org/node/4236982864,Humber,Herefordshire,1.45,,100
Humberstone,-0.93,52.71,-1.0900624,52.6459457,IV1680-181-58,http://www.openstreetmap.org/node/3166475608,"New Humberstone",Leicestershire,0.51,,84.62
Humberstone,0.06,53.58,-0.0234751,53.5339693,IV1680-181-59,http://www.openstreetmap.org/node/29348946,Humberston,Lincolnshire,0.92,,95.24
Humbleton,0.03,53.86,-0.1363539,53.7918934,IV1680-182-02,http://www.openstreetmap.org/node/104623430,Humbleton,"Yorkshire East Riding",0.65,,100
HUNANBY,-0.1,54.23,-0.3225151,54.1804339,IV1680-182-05,http://www.openstreetmap.org/node/29071579,Hunmanby,"Yorkshire East Riding",4.51,,93.33
Huncote,-2.11,53.83,-2.3443013,53.7727948,IV1680-182-07,http://www.openstreetmap.org/node/266568122,Huncoat,Lancashire,5.84,,85.71
Huncote,-1.13,52.65,-1.2366041,52.5718292,IV1680-182-08,http://www.openstreetmap.org/node/27436570,Huncote,Leicestershire,1.18,,100
Hundleby,0.15,53.25,0.0754922,53.1772589,IV1680-182-12,http://www.openstreetmap.org/node/31508947,Hundleby,Lincolnshire,2.1,,100
HUNGERFORD,-1.46,51.43,-1.518917,51.4154718,IV1680-182-17,http://www.openstreetmap.org/node/21517687,Hungerford,Berkshire,0.04,,100
Hungerford,-2.65,52.51,-2.6815457,52.4996985,IV1680-182-18,http://www.openstreetmap.org/node/5374900249,Hungerford,Shropshire,2.53,,100
Hungerton,-0.85,52.71,-0.9801114,52.659052,IV1680-182-21,http://www.openstreetmap.org/node/26951310,Hungarton,Leicestershire,0.7,,88.89
Hunningham,1.16,52.75,1.1081171,52.6623289,IV1680-182-26,http://www.openstreetmap.org/node/616680466,Honingham,Norfolk,2.55,,84.21
Hunnington,-0.5,53.03,-0.5949147,52.9774392,IV1680-182-28,http://www.openstreetmap.org/node/27409563,Honington,Lincolnshire,2.84,,84.21
Hunnington,0.86,52.38,0.8023619,52.3365919,IV1680-182-29,http://www.openstreetmap.org/node/288254598,Honington,Suffolk,1.83,,84.21
